index,claims,text_tokens,claim_idx,claim_vector
748,"[{'start': 0, 'end': 26}, {'start': 29, 'end': 59}]","['मुस्लिम', 'समाज', 'में', 'प्रचलित', 'पुरुषों', 'के', 'बहुविवाह', 'और', 'निकाह', 'हलाला', 'को', 'चुनौती', 'देने', 'वाली', 'याचिकाओं', 'को', 'जल्द', 'सुनवाई', 'के', 'लिए', 'लगाने', 'से', 'SC', 'ने', 'मना', 'किया', '।', 'कहा', '-', 'अभी', 'सुनवाई', 'के', 'लिए', 'संविधान', 'पीठ', 'का', 'गठन', 'कर', 'पाना', 'संभव', 'नहीं', 'है', '।', 'SC', 'ने', 'पिछले', 'साल', '26', 'मार्च', 'को', 'इस', 'मसले', 'पर', 'सरकार', 'को', 'नोटिस', 'जारी', 'किया', 'था']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
749,"[{'start': 0, 'end': 20}]","['ब्रिटेन', 'के', 'प्रधानमंत्री', 'बोरिस', 'जॉनसन', 'ने', 'यूरोपीय', 'संघ', 'को', 'व्यापार', 'समझौते', 'के', 'लिए', '15', 'अक्टूबर', 'तक', 'का', 'समय', 'दिया', 'है', '@U55524931', '#WorldNews', 'https://t.co/B1Ba3nQ0TS']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
750,"[{'start': 4, 'end': 43}]","['📢', '📢', ':', '-', 'सातवें', 'आसमान', 'पर', 'बैठे', 'अल्लाह', 'ताला', 'को', 'जब', 'गर्मी', 'लगती', 'है', 'तब', 'वो', 'नहाते', 'हैं', 'जिस', 'से', 'पानी', 'सातवे', 'आसमान', 'से', 'नीचे', 'गिरने', 'लगता', 'है', '।', 'ये', 'काफिर', 'कौम', 'के', 'नामुराद', 'इस', 'पानी', 'को', 'ही', 'बारिश', 'समझ', 'लेते', 'हैं', '।', '🕋', 'बेशक', 'खोदा', 'बहुत', 'बड़ा', 'कारसाज', 'है', '🕋']","{4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42}","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
751,"[{'start': 20, 'end': 34}]","['सामाजिक', 'समरसता', 'की', 'भावना', 'के', 'प्रतीक', 'पुरुष', ',', 'काशीवासी', 'डोमराजा', 'श्री', 'जगदीश', 'चौधरी', 'जी', 'का', 'निधन', 'अत्यंत', 'दुःखद', 'है', '।', 'श्री', 'जगदीश', 'चौधरी', 'जी', 'का', 'कैलाशगमन', 'सम्पूर्ण', 'भारतीय', 'समाज', 'की', 'एक', 'बड़ी', 'क्षति', 'है', '।', 'बाबा', 'विश्वनाथ', 'से', 'प्रार्थना', 'है', 'कि', 'आपको', 'अपने', 'परमधाम', 'में', 'स्थान', 'प्रदान', 'करें', '।', 'ॐ', 'शांति', '!']","{32, 33, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
752,[],"['कर्नाटक', 'संकट', ':', 'स्पीकर', 'ने', 'कहा', '-', 'मैं', 'अब', 'देखूंगा', 'कि', 'क्या', 'इस्तीफे', 'स्वेच्छा', 'से', 'दिए', 'हैं', 'या', 'नहीं', '#Karnataka', 'https://t.co/786xOCOyFd']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
753,"[{'start': 0, 'end': 21}]","['राज', 'ठाकरे', 'ने', 'ट्वीट', 'कर', 'कंगना', 'रनौत', 'का', 'मुंबई', 'में', '9', 'सितम्बर', 'को', 'स्वागत', 'किया', 'और', 'संजय', 'राउत', 'को', 'चुनौती', 'दी']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
754,"[{'start': 0, 'end': 24}]","['अनुच्छेद', '370', 'को', 'हटाने', 'के', 'बाद', 'से', 'हिंदू', 'राष्ट्रवादी', 'सतर्कता', 'समिति', ',', 'मुस्लिम', '-', 'स्वामित्व', 'वाली', 'संपत्तियों', 'और', 'व्यवसायों', 'पर', 'हमला', 'कर', 'रही', 'है', '।']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
755,"[{'start': 2, 'end': 17}]","['महाराष्ट्र', ':', 'तीन', 'तलाक', 'देकर', 'रिश्ता', 'तोड़ा', ',', 'पत्नी', 'की', 'शिकायत', 'पर', 'पति', 'के', 'खिलाफ', 'मामला', 'दर्ज', '#TripleTalaq', '#Maharashtra', 'https://t.co/eeIbhemZ89']","{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
756,[],"['एक', 'आदमी', '-', 'हे', 'भगवान', 'दंगा', 'करने', 'वाले', 'लोगों', 'को', 'हिंदू', 'कर', 'दे', ',', 'राहगीर', '-', 'ये', 'क्या', 'बक', 'रहा', 'है', 'बे', 'तु', ',', 'आदमी', '-', 'मैं', 'पत्रकार', 'हूं', 'जनाब', 'काम', 'धंधे', 'में', 'बरकत', 'की', 'दुआ', 'मांग', 'रहा', 'हूँ', '।']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
757,"[{'start': 1, 'end': 11}]","['#भैयाजी_कहिन', 'हिंदुस्तान', 'का', 'प्रहार', ',', 'चीन', 'की', 'साज़िश', 'तार', '-', 'तार', 'https://t.co/zXsspS2xR5']","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
758,"[{'start': 4, 'end': 11}]","['JEE', 'Main', '2020', ':', 'आज', '9', 'बजे', 'से', 'शुरू', 'होंगे', 'एग्जाम', ',', 'इन', 'बातों', 'का', 'रखें', 'ध्यान', 'https://t.co/wtDyoAo8Fj']","{4, 5, 6, 7, 8, 9, 10}","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
759,"[{'start': 1, 'end': 32}, {'start': 36, 'end': 53}]","['@U77821768', 'महाराष्ट्र', 'में', '5', 'साल', 'सत्ता', 'में', 'रही', 'बीजेपी', 'हुक्का', 'के', 'जरिए', 'बहुत', 'पैसा', 'कमाई', 'सारे', 'ड्रग्स', 'माफिया', 'के', 'साथ', 'बीजेपी', 'के', 'मंत्री', 'विधायक', 'पूर्व', 'मुख्यमंत्री', 'के', 'सांठगांठ', 'पैसा', 'आने', 'में', 'देरी', 'हो', 'गई', 'होगी', 'क्योंकि', 'महाराष्ट्र', 'में', 'इसकी', 'सरकार', 'रही', 'नहीं', 'तो', 'केंद्र', 'की', 'अपनी', 'सरकार', 'अपनी', 'सुप्रीम', 'कोर्ट', 'के', 'डर', 'दिखाई']","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52}","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
760,"[{'start': 0, 'end': 14}, {'start': 18, 'end': 21}]","['आम', 'आदमी', 'पार्टी', 'की', 'दिल्ली', 'विधानसभा', 'की', '27', 'सीटों', 'में', 'से', '21', 'मुसलमानों', 'को', '।', 'जरा', 'सोचे', '।', 'दिल्ली', 'बनेगा', 'रावलपिंडी', '।', 'शेयर', 'करे', 'और', 'देखे', 'केजरीवाल', 'उर्फ', 'केजरुद्दीन', 'जो', 'दिल्ली', 'को', 'किस', 'तरह', 'स्व', 'पाकिस्तान', 'बनाना', 'चाह', 'रहे', 'है', 'सब', 'आपके', 'सामने', 'है', 'उनके', 'विधायको', 'की', 'पहली', 'लिस्ट', '...', 'जागो', 'हिन्दू', 'जागो']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
761,"[{'start': 0, 'end': 19}]","['अनलॉक', '-', '4', 'के', 'दिशानिर्देश', 'जारी', ';', 'फिलहाल', 'स्कूल', '-', 'कॉलेज', 'रहेंगे', 'बंद', ',', '7', 'सितंबर', 'से', 'चलेगी', 'मेट्रो', 'https://t.co/W3bLotVQQ3']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
762,[],"['दिग्गज', '@U24920296', 'जोकोविच', 'क्यों', 'हुए', ""'"", 'डिफॉल्ट', ""'"", ',', 'जानिए', '-', 'क्या', 'कहते', 'हैं', 'नियम', 'https://t.co/AYx8RVauaP', '#novakdjokovic', '#USOpen', 'https://t.co/JN0hCCn64z']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
763,[],"['चुतिया', 'है', 'साला', '।', 'https://t.co/jfG3r1gWqG']",set(),"[0, 0, 0, 0, 0]"
764,"[{'start': 0, 'end': 12}]","['किसानों', 'का', 'करजा', 'माफ', 'किया', 'तो', 'किसानों', 'की', 'आदत', 'खराब', 'हो', 'जायेगी', 'भाईयों', 'आप', 'भी', 'देखो', '|', 'कि', 'किसान', 'का', 'कर्ज़ा', 'माफ़', 'नहीं', 'करना', 'चाहिए', '...', 'कि', 'अगर', 'किसान', 'का', 'कर्ज़ा', 'माफ़', 'किया', 'तो', 'किसान', 'को', '..', 'किसान', 'की', 'आदत', 'ख़राब', 'हो', 'जाएगी']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
765,"[{'start': 0, 'end': 45}]","['कोरोना', 'महामारी', 'के', 'दौरान', 'किसानों', 'को', 'राहत', 'प्रदान', 'करने', 'हेतु', 'सरकार', 'द्वारा', 'रिकॉर्ड', 'स्तर', 'पर', 'गेहूं', 'और', 'गन्ने', 'की', 'खरीद', 'की', 'गई', '।', 'किसानों', 'को', 'आर्थिक', 'रूप', 'से', 'सशक्त', 'बनाने', 'हेतु', 'पीएम', 'किसान', 'सम्मान', 'निधि', 'के', 'अंतर्गत', '₹', '02', '-', '02', 'हजार', 'हस्तांतरित', 'किए', 'गए', '।', 'https://t.co/snK1oK6Kat']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
766,"[{'start': 5, 'end': 22}]","['मा०', '-', 'मुख्यमंत्री', '@U28559703', 'जी', 'आपके', 'इतने', 'प्रयास', 'के', 'बाद', 'भी', 'हमारा', 'प्रदेश', 'गुणवत्ता', 'पूर्ण', 'शिक्षा', 'के', 'मामले', 'मे', 'सबसे', 'पीछे', 'है', '।', 'मा०', '-', 'मुख्यमंत्री', 'जी', '#69kशिक्षकभर्ती60_65प्रतिशत', 'पर', 'न्यायालय', 'के', 'अंतरिम', 'आदेश', 'पर', 'अतिशीघ्र', 'पूर्ण', 'करवाइए', '।', 'हम', 'सब', 'मिलकर', 'शिक्षा', 'की', 'गुणवत्ता', 'में', 'सुधार', 'करेंगे', '।', 'https://t.co/y4b9wgF9OT']","{5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21}","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
767,"[{'start': 6, 'end': 30}]","['देशद्रोही', 'मीडिया', 'को', 'नही', 'दिखता', 'की', 'गलवान', 'में', 'फिंगर', '8', 'से', '4', 'तक', 'चीन', 'कब्जा', 'कर', 'बैठा', 'है', '।', 'अरुणांचल', 'में', 'आज', '5', 'लोगों', 'को', 'चीनी', 'अगुआ', 'कर', 'ले', 'गए', '।', 'सुशांत', 'का', 'आत्म', 'हत्या', 'ही', 'राष्ट्र', 'है', '।', '@U37453835']","{6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29}","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
768,"[{'start': 14, 'end': 24}, {'start': 28, 'end': 38}]","['समस्त', 'आर्थिक', 'गतिविधियों', 'को', 'तेजी', 'से', 'संचालित', 'करने', 'के', 'निर्देश', 'देते', 'हुए', 'मुख्यमंत्री', 'श्री', '@U28559703', 'जी', 'ने', 'कहा', 'कि', 'जीएसटी', 'की', 'समीक्षा', 'की', 'जाए', '।', 'उन्होंने', 'कहा', 'कि', 'जीएसटी', 'के', 'तहत', 'राजस्व', 'संग्रह', 'की', 'वह', 'स्वयं', 'समीक्षा', 'करेंगे', ':', 'ACS', ',', 'गृह', 'व', 'सूचना', ',', 'श्री', '@U34555690', 'जी', '@U42806979']","{14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
769,"[{'start': 0, 'end': 18}]","['सुरेश', 'रैना', 'के', 'रिश्तेदारों', 'की', 'हत्या', 'के', 'मामले', 'में', 'ऐक्शन', 'में', 'आई', 'पंजाब', 'पुलिस', ',', 'कई', 'जगह', 'छापेमारी', 'https://t.co/2BASLfCdiC', '#SureshRaina', 'https://t.co/zwBi7Vc6mB']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
770,"[{'start': 0, 'end': 13}]","['Y', 'कैटेगरी', 'की', 'सुरक्षा', 'में', 'निकलीं', 'भक्तों', 'की', 'झांसी', 'की', 'रानी', '""', 'कंगना', '""', '🤷', 'कहा', ':', 'ना', 'डरूंगी', ',', 'ना', 'झुकूंगी', 'जब', 'डर', 'ही', 'नहीं', 'तो', 'Y', '+', 'में', 'क्यों', 'आ', 'रही', 'फ़र्ज़ी', 'क्वीन', '?', 'आम', 'पब्लिक', 'जैसे', 'आओ', 'तुमसे', 'तो', 'ज्यादा', 'हिम्मती', 'रिया', 'है', 'जिसने', 'सरकार', ',', 'पुलिस', ',', 'सिस्टम', ',', 'मीडिया', 'सबको', 'अकेले', 'झेला', 'https://t.co/LRAaR9U2Z2']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
771,"[{'start': 4, 'end': 18}]","['विडंबना', 'देखिए', '-', '-', '9वीं', 'फेल', 'तेजस्वी', 'यादव', 'भी', 'जेईई', 'नीट', '2020', 'के', 'खिलाफ', 'विरोध', 'कर', 'रहा', 'है', '।', '😂', '😀', '😂']","{4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
772,"[{'start': 10, 'end': 26}]","['#जीवनसंवाद', 'अपनों', 'के', 'प्रेम', ',', 'अनुराग', 'पर', 'भरोसा', 'कीजिए', '.', 'संकट', 'साथ', 'मिलकर', 'सहने', 'से', 'कम', 'होता', 'जाता', 'है', '.', 'हर', 'अंधेरी', 'रात', 'की', 'सुबह', 'है', '.', 'बस', 'रात', 'से', 'डरना', 'नहीं', 'और', 'सुबह', 'में', 'यकीन', 'रखना', 'है', '.', 'https://t.co/fPEnISBzIQ', '#TuesdayMotivation']","{10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
773,"[{'start': 0, 'end': 5}]","['नसीरुद्दीन', 'शाह', 'की', 'तबीयत', 'खराब', ',', 'जानिए', 'सोशल', 'मीडिया', 'पर', 'वायरल', 'हो', 'रही', 'इस', 'खबर', 'की', 'सच्चाई']","{0, 1, 2, 3, 4}","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
774,"[{'start': 20, 'end': 37}]","['केन्द्रीय', 'गृह', 'मंत्री', '@U90190644', 'ने', 'पूर्व', 'राष्ट्रपति', ',', 'भारत', 'रत्न', '#PranabMukherjee', 'के', 'निधन', 'पर', 'गहरा', 'दुख', 'व्यक्त', 'कर', 'कहा', '“', 'प्रणब', 'दा', 'बहुत', 'ही', 'अनुभवी', 'नेता', 'थे', 'और', 'उन्होने', 'पूरी', 'निष्ठा', 'के', 'साथ', 'राष्ट्र', 'की', 'सेवा', 'की', 'विवरण', ':', 'https://t.co/a0vu1EApQl']","{20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
775,"[{'start': 0, 'end': 17}]","['अब', 'भारतीय', 'बंदरगाहों', 'पर', 'नहीं', 'चलेंगें', 'चाइनीज', 'टगबोट', ',', 'सिर्फ', 'भारत', 'में', 'बने', 'ही', 'काम', 'कर', 'पाएंगे', 'https://t.co/yK5mdRuqcI', 'via', '@U59792336']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
776,[],"['चप्पल', 'पहनकर', 'भूमि', 'पूजन', ',', 'आखिर', 'कितनी', 'धज्जियां', 'उड़ाओगे', 'हिंदू', 'धर्म', 'की', '!', 'पैरों', 'में', 'चप्पल', 'पहनकर', 'कोई', 'भूमि', 'पूजन', 'होता', 'है', 'क्या', '?', 'ये', 'किस', 'मानसिकता', 'के', 'भक्त', 'है', 'मित्रो', '|', 'चप्पल', 'जूता', 'पहनकर', 'भूमि', 'पूजनवाह', '👌', 'मोदी', 'हे', 'तो', 'मुमकिन', 'हैं', 'नकली', 'राम', 'भक्त']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
777,"[{'start': 3, 'end': 39}]","['10', '/', '01/2020', 'भारत', 'के', 'पश्चिम', 'बंगाल', 'के', 'दुर्गापुर', 'में', ',', 'एयरपोर्ट', 'के', 'पास', 'एक', 'मोटरवे', 'है', '|', 'गहरी', 'धुंध', 'के', 'कारन', 'पायलट', 'ने', 'मोटरवे', 'को', 'रनवे', 'समझ', 'लिया', 'और', 'हवाईजहाज़', 'लैंड', 'करवा', 'दिया', 'और', 'ब्रिज', 'में', 'फास', 'गया', '|']","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38}","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
778,[],"['असम', 'पुलिस', 'से', 'जानिए', 'आखिर', ""'"", 'रसोड़े', 'में', 'कौन', 'था', '?', ""'"", ',', 'राशि', 'थी', 'या', 'ड्रग्स', 'स्मगलर', 'थे', '?', '@U64944385', 'https://t.co/H6ZMOLo66w']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
779,"[{'start': 3, 'end': 18}]","['IPL', '2020', ':', 'सभी', 'टीमों', 'ने', 'शुरू', 'की', 'प्रैक्टिस', ',', 'रोहित', 'शर्मा', 'और', 'ऋषभ', 'पंत', 'दिखे', 'फॉर्म', 'में', 'https://t.co/XtbWa7EiIZ']","{3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17}","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
780,[],"['#IndiaFightsCorona', ':', '📍', 'कार्यस्थलों', 'पर', '#कोविड19', 'से', 'बचाव', '↗', '️', 'सतहों', 'व', 'वस्तुओं', 'को', 'कीटाणुनाशक', 'से', 'रोज़ाना', 'साफ', 'करें', '↗', '️कर्मचारियों', 'व', 'आगंतुकों', 'द्वारा', 'नियमित', 'रूप', 'से', 'हाथ', 'धोने', 'को', 'बढ़ावा', 'दें', '↗', '️', 'कार्यस्थल', 'व', 'प्रमुख', 'स्थानों', 'पर', 'हैंड', 'सैनिटाइजिंग', 'के', 'लिए', 'डिस्पेंसर', 'लगाएं', '#StaySafe', '#IndiaWillWin', 'https://t.co/TcOScnG2Ou']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
781,"[{'start': 16, 'end': 35}]","['अब', 'यूपी', '-', 'बिहार', 'के', 'लोगों', 'को', 'दिल्ली', 'से', 'भी', 'भगा', 'देना', 'चाहिए', ':', 'रमेश', 'बिधूड़ी', 'भाजपा', 'सांसद', 'रमेश', 'बिधुरी', 'ने', 'कहा', 'अब', 'यूपी', '-', 'बिहार', 'के', 'लोगों', 'को', 'दिल्ली', 'से', 'भी', 'भगा', 'देना', 'चाहिए']","{16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
782,"[{'start': 0, 'end': 23}]","['यूपी', 'के', 'बलिया', 'जिले', 'में', 'एक', 'मुस्लिम', 'महिला', 'और', 'उसकी', 'बेटी', 'पर', 'जानबूझकर', 'कार', 'चढ़ाई', 'गई', ',', 'जिसमें', 'दोनों', 'की', 'मौत', 'हो', 'गई']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
